source,target_uri,target,type
bogwitch-girl.bsky.social,at://did:plc:4tepv2ffnncc6ahvpjogsv7y/app.bsky.feed.post/3mp4kg2cubc2p,,reply
falllover.bsky.social,at://did:plc:x5uyvnk4pjykfr7nyo6cpkdr/app.bsky.feed.post/3mp4m7lpi5t2q,falllover.bsky.social,reply
falllover.bsky.social,at://did:plc:x5uyvnk4pjykfr7nyo6cpkdr/app.bsky.feed.post/3mp4m7mpmi32q,falllover.bsky.social,reply
daoish.bsky.social,at://did:plc:ofzkhjyyh4kl4a35wxgmobmm/app.bsky.feed.post/3mp35yz3zxc2y,,reply
randomsakura.bsky.social,at://did:plc:hih2bsukkev2t5sxaytjysvb/app.bsky.feed.post/3mp5g2fgyuc2f,,reply
batteryoftheheart.bsky.social,at://did:plc:trlbpfxc3kqx3xilalpsxwsp/app.bsky.feed.post/3mp5n65bfbs2d,,reply
gamebrief.bsky.social,at://did:plc:uigkotf42jjetdej2m6wvp7u/app.bsky.feed.post/3mp4x5ykn6s2c,,reply
byjp.me,at://did:plc:uwynodlfvaieqcisgh5zvdwx/app.bsky.feed.post/3mp6d74hvck2i,,reply
stephanvogel.bsky.social,at://did:plc:jxq476tiost46fulhzl4wmhu/app.bsky.feed.post/3mp5goa33b22v,,reply
hatf.cryptoanarchy.network,at://did:plc:ov7np3bz6mrc735uzlgiimwz/app.bsky.feed.post/3mp6o5ijgys2e,,reply
ultimateillusion.bsky.social,at://did:plc:5hbk7ca5wesj72idsa2eez4y/app.bsky.feed.post/3mp6ndslhw22c,,reply
digimuyo.bsky.social,at://did:plc:kv74oche32sgctrp2upno66p/app.bsky.feed.post/3mp6qcvsbw22v,,reply
th1rtyf0ur.bsky.social,at://did:plc:6jbqzdabwubb33fucreuudei/app.bsky.feed.post/3mp5zwhumis2d,,reply
branchingtime.bsky.social,at://did:plc:7qorz7iv4nn4g6ri7mj5je4g/app.bsky.feed.post/3mp6xxplbvs2t,,reply
oldorderanartcist.bsky.social,at://did:plc:lhukzzqk4hzntqlmdilbkwui/app.bsky.feed.post/3mp7dthhn5s23,,reply
ikiguy.bsky.social,at://did:plc:oljtfkyulex4iv45deplyg7k/app.bsky.feed.post/3mp7ei4nvmc2z,,reply
ultimatetrainer.bsky.social,at://did:plc:fpjz54vtq6izlpdembrskc7h/app.bsky.feed.post/3mp7pfuue2sau,,reply
morkitten.bsky.social,at://did:plc:6yeulnmb3m4gbwbydfgvv244/app.bsky.feed.post/3mp7ik27ojk2l,,reply
aesthetic.northsky.social,at://did:plc:zkqwqlywjuratttd5uoq3mgg/app.bsky.feed.post/3mpaf2rk2dc2p,,reply
vonpeterhof.bsky.social,at://did:plc:jyxfvfm62fzay2qqwdrjubaz/app.bsky.feed.post/3mp7t5otcic26,,reply
avantgardening.pl,at://did:plc:ziklmmkdwdrr6yiydaoz24il/app.bsky.feed.post/3mpauh4mogk2x,,reply
buotter.bsky.social,at://did:plc:xm7srujhzxrd3kkl7pya7q2s/app.bsky.feed.post/3mpdikq3sec2r,buotter.bsky.social,reply
0-ntm.bsky.social,at://did:plc:rqjuckl3635cmw2eckw3un47/app.bsky.feed.post/3mp757szlmk22,,reply
quirky-iri.bsky.social,at://did:plc:yg5opdxtxd5dbo5zxingdqj7/app.bsky.feed.post/3mpdxs7co2s26,,reply
alicedyeforme.bsky.social,at://did:plc:vlpy6zuqqum5tumv7b6dw5fp/app.bsky.feed.post/3mpewtrhlwk2f,,reply
st0913.bsky.social,at://did:plc:crsfdqdfeikc3fyvruajtocx/app.bsky.feed.post/3mpfiotvjg22z,,reply
st0913.bsky.social,at://did:plc:ajkjtsridvzdo6k2qipqnzj6/app.bsky.feed.post/3mpfpvhwfu22r,,reply
charlieyuki.bsky.social,at://did:plc:q4mt7rmluongx52amzd4h56i/app.bsky.feed.post/3mpg6un6jsk2l,,reply
craigburley.com,at://did:plc:eata2lkcvmh7csdbbvoo4eib/app.bsky.feed.post/3mpgdlj4clk2u,,reply
alter-kaker.bsky.social,at://did:plc:liafn6zii6xyyqgh4idepyzi/app.bsky.feed.post/3mphado7by22v,,reply
bunnyelfprincess.bsky.social,at://did:plc:kbhefyyneesqvfccyw3smbt5/app.bsky.feed.post/3mphefft7p22t,,reply
alismonitos.bsky.social,at://did:plc:qwi6bsawfcam6hsz6qj5bo6g/app.bsky.feed.post/3mpjlbnmy4225,,reply
alismonitos.bsky.social,at://did:plc:7xkfodx2uwxxv2ikqjbddwhb/app.bsky.feed.post/3mpjmfamkek2j,,reply
alismonitos.bsky.social,at://did:plc:rrjgpabkiemg4thovwbehog5/app.bsky.feed.post/3mpjoxzf76s2r,alismonitos.bsky.social,reply
alismonitos.bsky.social,at://did:plc:rrjgpabkiemg4thovwbehog5/app.bsky.feed.post/3mpjqgwuvkk2e,,reply
